186,Lateral habenula,LH,Thalamus
390,Supraoptic nucleus,SO,Hypothalamus
338,Subfornical organ,SFO,Hypothalamus
210,Lateral mammillary nucleus,LM,Hypothalamus
491,Medial mammillary nucleus,MM,Hypothalamus
470,Subthalamic nucleus,STN,Hypothalamus
797,Zona incerta,ZI,Hypothalamus
851,"Superior colliculus, optic layer",SCop,Midbrain
842,"Superior colliculus, superficial gray layer",SCsg,Midbrain
4,Inferior colliculus,IC,Midbrain
381,"Substantia nigra, reticular part",SNr,Midbrain
26,"Superior colliculus, motor related, deep gray layer",SCdg,Midbrain
42,"Superior colliculus, motor related, deep white layer",SCdw,Midbrain
17,"Superior colliculus, motor related, intermediate white layer",SCiw,Midbrain
10,"Superior colliculus, motor related, intermediate gray layer",SCig,Midbrain
795,Periaqueductal gray,PAG,Midbrain
215,Anterior pretectal nucleus,APN,Midbrain
214,Red nucleus,RN,Midbrain
35,Oculomotor nucleus,III,Midbrain
115,Trochlear nucleus,IV,Midbrain
757,Ventral tegmental nucleus,VTN,Midbrain
12,Interfascicular nucleus raphe,IF,Midbrain
100,Interpeduncular nucleus,IPN,Midbrain
612,Nucleus of the lateral lemniscus,NLL,Pons
7,Principal sensory nucleus of the trigeminal,PSV,Pons
122,"Superior olivary complex, periolivary region",POR,Pons
105,"Superior olivary complex, medial part",SOCm,Pons
114,"Superior olivary complex, lateral part",SOCl,Pons
880,Dorsal tegmental nucleus,DTN,Pons
931,Pontine gray,PG,Pons
318,Supragenual nucleus,SG,Pons
574,Tegmental reticular nucleus,TRN,Pons
621,Motor nucleus of trigeminal,V,Pons
679,Superior central nucleus raphe,CS,Pons
147,Locus ceruleus,LC,Pons
207,Area postrema,AP,Medulla
96,Dorsal cochlear nucleus,DCO,Medulla
101,Ventral cochlear nucleus,VCO,Medulla
711,Cuneate nucleus,CU,Medulla
1039,Gracile nucleus,GR,Medulla
903,External cuneate nucleus,ECU,Medulla
642,Nucleus of the trapezoid body,NTB,Medulla
429,"Spinal nucleus of the trigeminal, caudal part",SPVC,Medulla
437,"Spinal nucleus of the trigeminal, interpolar part",SPVI,Medulla
445,"Spinal nucleus of the trigeminal, oral part",SPVO,Medulla
653,Abducens nucleus,VI,Medulla
661,Facial motor nucleus,VII,Medulla
576,Accessory facial motor nucleus,ACVII,Medulla
939,"Nucleus ambiguus, dorsal division",AMBd,Medulla
143,"Nucleus ambiguus, ventral division",AMBv,Medulla
1048,Gigantocellular reticular nucleus,GRN,Medulla
83,Inferior olivary complex,IO,Medulla
136,Intermediate reticular nucleus,IRN,Medulla
106,Inferior salivatory nucleus,ISN,Medulla
203,Linear nucleus of the medulla,LIN,Medulla
852,Parvicellular reticular nucleus,PARN,Medulla
169,Nucleus prepositus,PRP,Medulla
209,Lateral vestibular nucleus,LAV,Medulla
202,Medial vestibular nucleus,MV,Medulla
225,Spinal vestibular nucleus,SPIV,Medulla
1041,Paraflocculus,PFL,Cerebellum
1049,Flocculus,FL,Cerebellum
989,Fastigial nucleus,FN,Cerebellum
91,Interposed nucleus,IP,Cerebellum
846,Dentate nucleus,DN,Cerebellum
1016,olfactory nerve layer of main olfactory bulb,onl,Fiber tracts
665,"lateral olfactory tract, body",lot,Fiber tracts
900,"anterior commissure, olfactory limb",aco,Fiber tracts
848,optic nerve,IIn,Fiber tracts
117,optic chiasm,och,Fiber tracts
125,optic tract,opt,Fiber tracts
158,posterior commissure,pc,Fiber tracts
911,trochlear nerve,IVn,Fiber tracts
93,motor root of the trigeminal nerve,moV,Fiber tracts
794,spinal tract of the trigeminal nerve,sptV,Fiber tracts
798,facial nerve,VIIn,Fiber tracts
413,vestibular nerve,vVIIIn,Fiber tracts
633,inferior colliculus commissure,cic,Fiber tracts
697,medial lemniscus,ml,Fiber tracts
237,solitary tract,ts,Fiber tracts
326,superior cerebelar peduncles,scp,Fiber tracts
78,middle cerebellar peduncle,mcp,Fiber tracts
1123,inferior cerebellar peduncle,icp,Fiber tracts
728,arbor vitae,arb,Fiber tracts
776,corpus callosum,cc,Fiber tracts
784,corticospinal tract,cst,Fiber tracts
6,internal capsule,int,Fiber tracts
924,cerebal peduncle,cpd,Fiber tracts
1092,external medullary lamina of the thalamus,em,Fiber tracts
190,pyramid,py,Fiber tracts
908,"anterior commissure, temporal limb",act,Fiber tracts
940,cingulum bundle,cing,Fiber tracts
603,fimbria,fi,Fiber tracts
436,columns of the fornix,fx,Fiber tracts
449,ventral hippocampal commissure,vhc,Fiber tracts
443,dorsal hippocampal commissure,dhc,Fiber tracts
690,mammilothalmic tract,mtt,Fiber tracts
802,stria medullaris,sm,Fiber tracts
595,fasciculus retroflexus,fr,Fiber tracts
611,habenular commissure,hbc,Fiber tracts
81,lateral ventricle,VL,Ventricular systems
129,third ventricle,V3,Ventricular systems
140,cerebral aqueduct,AQ,Ventricular systems
145,fourth ventricle,V4,Ventricular systems
153,lateral recess,V4r,Ventricular systems
164,"central canal, spinal cord/medulla",c,Ventricular systems
