457,1047,NaN,VIS6a,"Visual areas, layer 6a"
497,1052,NaN,VIS6b,"Visual areas, layer 6b"
402,757,NaN,VISal,Anterolateral visual area
1074,1124,NaN,VISal1,"Anterolateral visual area, layer 1"
905,1103,NaN,VISal2/3,"Anterolateral visual area, layer 2/3"
1114,1129,NaN,VISal4,"Anterolateral visual area, layer 4"
233,453,NaN,VISal5,"Anterolateral visual area, layer 5"
601,1065,NaN,VISal6a,"Anterolateral visual area, layer 6a"
649,1071,NaN,VISal6b,"Anterolateral visual area, layer 6b"
394,756,NaN,VISam,Anteromedial visual area
281,1025,NaN,VISam1,"Anteromedial visual area, layer 1"
1066,1123,NaN,VISam2/3,"Anteromedial visual area, layer 2/3"
401,1040,NaN,VISam4,"Anteromedial visual area, layer 4"
433,1044,NaN,VISam5,"Anteromedial visual area, layer 5"
1046,696,NaN,VISam6a,"Anteromedial visual area, layer 6a"
441,762,NaN,VISam6b,"Anteromedial visual area, layer 6b"
409,758,NaN,VISl,Lateral visual area
421,618,NaN,VISl1,"Lateral visual area, layer 1"
973,687,NaN,VISl2/3,"Lateral visual area, layer 2/3"
573,637,NaN,VISl4,"Lateral visual area, layer 4"
613,642,NaN,VISl5,"Lateral visual area, layer 5"
74,999,NaN,VISl6a,"Lateral visual area, layer 6a"
121,1005,NaN,VISl6b,"Lateral visual area, layer 6b"
385,755,NaN,VISp,Primary visual area
593,1064,NaN,VISp1,"Primary visual area, layer 1"
821,951,NaN,VISp2/3,"Primary visual area, layer 2/3"
721,1080,NaN,VISp4,"Primary visual area, layer 4"
778,1087,NaN,VISp5,"Primary visual area, layer 5"
33,428,NaN,VISp6a,"Primary visual area, layer 6a"
305,462,NaN,VISp6b,"Primary visual area, layer 6b"
425,760,NaN,VISpl,Posterolateral visual area
750,942,NaN,VISpl1,"Posterolateral visual area, layer 1"
269,882,NaN,VISpl2/3,"Posterolateral visual area, layer 2/3"
869,957,NaN,VISpl4,"Posterolateral visual area, layer 4"
902,961,NaN,VISpl5,"Posterolateral visual area, layer 5"
377,1037,NaN,VISpl6a,"Posterolateral visual area, layer 6a"
393,1039,NaN,VISpl6b,"Posterolateral visual area, layer 6b"
533,915,NaN,VISpm,posteromedial visual area
805,383,NaN,VISpm1,"posteromedial visual area, layer 1"
41,995,NaN,VISpm2/3,"posteromedial visual area, layer 2/3"
501,628,NaN,VISpm4,"posteromedial visual area, layer 4"
565,636,NaN,VISpm5,"posteromedial visual area, layer 5"
257,456,NaN,VISpm6a,"posteromedial visual area, layer 6a"
469,624,NaN,VISpm6b,"posteromedial visual area, layer 6b"
312782574,,NaN,VISli,Laterointermediate area
312782578,,NaN,VISli1,"Laterointermediate area, layer 1"
312782582,,NaN,VISli2/3,"Laterointermediate area, layer 2/3"
312782586,,NaN,VISli4,"Laterointermediate area, layer 4"
312782590,,NaN,VISli5,"Laterointermediate area, layer 5"
312782594,,NaN,VISli6a,"Laterointermediate area, layer 6a"
312782598,,NaN,VISli6b,"Laterointermediate area, layer 6b"
312782628,,NaN,VISpor,Postrhinal area
312782632,,NaN,VISpor1,"Postrhinal area, layer 1"
312782636,,NaN,VISpor2/3,"Postrhinal area, layer 2/3"
312782640,,NaN,VISpor4,"Postrhinal area, layer 4"
312782644,,NaN,VISpor5,"Postrhinal area, layer 5"
312782648,,NaN,VISpor6a,"Postrhinal area, layer 6a"
312782652,,NaN,VISpor6b,"Postrhinal area, layer 6b"
31,3,NaN,ACA,Anterior cingulate area
572,1061,NaN,ACA1,"Anterior cingulate area, layer 1"
1053,1121,NaN,ACA2/3,"Anterior cingulate area, layer 2/3"
739,1082,NaN,ACA5,"Anterior cingulate area, layer 5"
179,1012,NaN,ACA6a,"Anterior cingulate area, layer 6a"
227,1018,NaN,ACA6b,"Anterior cingulate area, layer 6b"
39,4,NaN,ACAd,"Anterior cingulate area, dorsal part"
935,965,NaN,ACAd1,"Anterior cingulate area, dorsal part, layer 1"
211,1016,NaN,ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3"
1015,975,NaN,ACAd5,"Anterior cingulate area, dorsal part, layer 5"
919,963,NaN,ACAd6a,"Anterior cingulate area, dorsal part, layer 6a"
927,964,NaN,ACAd6b,"Anterior cingulate area, dorsal part, layer 6b"
48,5,NaN,ACAv,"Anterior cingulate area, ventral part"
588,1063,NaN,ACAv1,"Anterior cingulate area, ventral part, layer 1"
296,885,NaN,ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3"
772,1086,NaN,ACAv5,"Anterior cingulate area, ventral part, layer 5"
810,1091,NaN,ACAv6a,"Anterior cingulate area, ventral part, 6a"
819,1092,NaN,ACAv6b,"Anterior cingulate area, ventral part, 6b"
972,262,NaN,PL,Prelimbic area
171,1011,NaN,PL1,"Prelimbic area, layer 1"
195,1014,NaN,PL2,"Prelimbic area, layer 2"
304,886,NaN,PL2/3,"Prelimbic area, layer 2/3"
363,1035,NaN,PL5,"Prelimbic area, layer 5"
84,1000,NaN,PL6a,"Prelimbic area, layer 6a"
132,1006,NaN,PL6b,"Prelimbic area, layer 6b"
44,146,NaN,ILA,Infralimbic area
707,1078,NaN,ILA1,"Infralimbic area, layer 1"
747,1083,NaN,ILA2,"Infralimbic area, layer 2"
556,1059,NaN,ILA2/3,"Infralimbic area, layer 2/3"
827,1093,NaN,ILA5,"Infralimbic area, layer 5"
1054,980,NaN,ILA6a,"Infralimbic area, layer 6a"
1081,983,NaN,ILA6b,"Infralimbic area, layer 6b"
714,230,NaN,ORB,Orbital area
264,881,NaN,ORB1,"Orbital area, layer 1"
492,1051,NaN,ORB2/3,"Orbital area, layer 2/3"
352,892,NaN,ORB5,"Orbital area, layer 5"
476,1049,NaN,ORB6a,"Orbital area, layer 6a"
516,1054,NaN,ORB6b,"Orbital area, layer 6b"
723,231,NaN,ORBl,"Orbital area, lateral part"
448,621,NaN,ORBl1,"Orbital area, lateral part, layer 1"
412,1041,NaN,ORBl2/3,"Orbital area, lateral part, layer 2/3"
630,644,NaN,ORBl5,"Orbital area, lateral part, layer 5"
440,620,NaN,ORBl6a,"Orbital area, lateral part, layer 6a"
488,626,NaN,ORBl6b,"Orbital area, lateral part, layer 6b"
731,232,NaN,ORBm,"Orbital area, medial part"
484,1050,NaN,ORBm1,"Orbital area, medial part, layer 1"
524,1055,NaN,ORBm2,"Orbital area, medial part, layer 2"
582,638,NaN,ORBm2/3,"Orbital area, medial part, layer 2/3"
620,1067,NaN,ORBm5,"Orbital area, medial part, layer 5"
910,962,NaN,ORBm6a,"Orbital area, medial part, layer 6a"
527696977,,NaN,ORBm6b,"Orbital area, medial part, layer 6b"
738,233,NaN,ORBv,"Orbital area, ventral part"
746,234,NaN,ORBvl,"Orbital area, ventrolateral part"
969,1111,NaN,ORBvl1,"Orbital area, ventrolateral part, layer 1"
288,884,NaN,ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3"
1125,1130,NaN,ORBvl5,"Orbital area, ventrolateral part, layer 5"
608,924,NaN,ORBvl6a,"Orbital area, ventrolateral part, layer 6a"
680,933,NaN,ORBvl6b,"Orbital area, ventrolateral part, layer 6b"
95,11,NaN,AI,Agranular insular area
104,12,NaN,AId,"Agranular insular area, dorsal part"
996,1114,NaN,AId1,"Agranular insular area, dorsal part, layer 1"
328,889,NaN,AId2/3,"Agranular insular area, dorsal part, layer 2/3"
1101,1127,NaN,AId5,"Agranular insular area, dorsal part, layer 5"
783,946,NaN,AId6a,"Agranular insular area, dorsal part, layer 6a"
831,952,NaN,AId6b,"Agranular insular area, dorsal part, layer 6b"
111,13,NaN,AIp,"Agranular insular area, posterior part"
120,863,NaN,AIp1,"Agranular insular area, posterior part, layer 1"
163,1010,NaN,AIp2/3,"Agranular insular area, posterior part, layer 2/3"
344,891,NaN,AIp5,"Agranular insular area, posterior part, layer 5"
314,1029,NaN,AIp6a,"Agranular insular area, posterior part, layer 6a"
355,1034,NaN,AIp6b,"Agranular insular area, posterior part, layer 6b"
119,14,NaN,AIv,"Agranular insular area, ventral part"
704,936,NaN,AIv1,"Agranular insular area, ventral part, layer 1"
694,652,NaN,AIv2/3,"Agranular insular area, ventral part, layer 2/3"
800,948,NaN,AIv5,"Agranular insular area, ventral part, layer 5"
675,1074,NaN,AIv6a,"Agranular insular area, ventral part, layer 6a"
699,1077,NaN,AIv6b,"Agranular insular area, ventral part, layer 6b"
254,314,NaN,RSP,Retrosplenial area
894,394,NaN,RSPagl,"Retrosplenial area, lateral agranular part"
671,932,NaN,RSPagl1,"Retrosplenial area, lateral agranular part, layer 1"
965,969,NaN,RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3"
774,945,NaN,RSPagl5,"Retrosplenial area, lateral agranular part, layer 5"
906,820,NaN,RSPagl6a,"Retrosplenial area, lateral agranular part, layer 6a"
279,883,NaN,RSPagl6b,"Retrosplenial area, lateral agranular part, layer 6b"
480149258,,NaN,VISmma,Mediomedial anterior visual area
480149262,,NaN,VISmma1,"Mediomedial anterior visual area, layer 1"
480149266,,NaN,VISmma2/3,"Mediomedial anterior visual area, layer 2/3"
480149270,,NaN,VISmma4,"Mediomedial anterior visual area, layer 4"
480149274,,NaN,VISmma5,"Mediomedial anterior visual area,layer 5"
480149278,,NaN,VISmma6a,"Mediomedial anterior visual area, layer 6a"
480149282,,NaN,VISmma6b,"Mediomedial anterior visual area, layer 6b"
480149286,,NaN,VISmmp,Mediomedial posterior visual area
480149290,,NaN,VISmmp1,"Mediomedial posterior visual area, layer 1"
480149294,,NaN,VISmmp2/3,"Mediomedial posterior visual area, layer 2/3"
480149298,,NaN,VISmmp4,"Mediomedial posterior visual area, layer 4"
480149302,,NaN,VISmmp5,"Mediomedial posterior visual area,layer 5"
480149306,,NaN,VISmmp6a,"Mediomedial posterior visual area, layer 6a"
480149310,,NaN,VISmmp6b,"Mediomedial posterior visual area, layer 6b"
480149314,,NaN,VISm,Medial visual area
480149318,,NaN,VISm1,"Medial visual area, layer 1"
480149322,,NaN,VISm2/3,"Medial visual area, layer 2/3"
480149326,,NaN,VISm4,"Medial visual area, layer 4"
480149330,,NaN,VISm5,"Medial visual area,layer 5"
480149334,,NaN,VISm6a,"Medial visual area, layer 6a"
480149338,,NaN,VISm6b,"Medial visual area, layer 6b"
879,392,NaN,RSPd,"Retrosplenial area, dorsal part"
442,1045,NaN,RSPd1,"Retrosplenial area, dorsal part, layer 1"
434,761,NaN,RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3"
545,1058,NaN,RSPd4,"Retrosplenial area, dorsal part, layer 4"
610,1066,NaN,RSPd5,"Retrosplenial area, dorsal part, layer 5"
274,1024,NaN,RSPd6a,"Retrosplenial area, dorsal part, layer 6a"
330,1031,NaN,RSPd6b,"Retrosplenial area, dorsal part, layer 6b"
886,393,NaN,RSPv,"Retrosplenial area, ventral part"
542,633,NaN,RSPv1,"Retrosplenial area, ventral part, layer 1"
606,641,NaN,RSPv2,"Retrosplenial area, ventral part, layer 2"
430,619,NaN,RSPv2/3,"Retrosplenial area, ventral part, layer 2/3"
687,651,NaN,RSPv5,"Retrosplenial area, ventral part, layer 5"
590,639,NaN,RSPv6a,"Retrosplenial area, ventral part, layer 6a"
622,643,NaN,RSPv6b,"Retrosplenial area, ventral part, layer 6b"
22,285,NaN,PTLp,Posterior parietal association areas
532,1056,NaN,PTLp1,"Posterior parietal association areas, layer 1"
241,454,NaN,PTLp2/3,"Posterior parietal association areas, layer 2/3"
635,1069,NaN,PTLp4,"Posterior parietal association areas, layer 4"
683,1075,NaN,PTLp5,"Posterior parietal association areas, layer 5"
308,1028,NaN,PTLp6a,"Posterior parietal association areas, layer 6a"
340,1032,NaN,PTLp6b,"Posterior parietal association areas, layer 6b"
312782546,,NaN,VISa,Anterior area
312782550,,NaN,VISa1,"Anterior area, layer 1"
312782554,,NaN,VISa2/3,"Anterior area, layer 2/3"
312782558,,NaN,VISa4,"Anterior area, layer 4"
312782562,,NaN,VISa5,"Anterior area, layer 5"
312782566,,NaN,VISa6a,"Anterior area, layer 6a"
312782570,,NaN,VISa6b,"Anterior area, layer 6b"
417,759,NaN,VISrl,Rostrolateral visual area
312782604,,NaN,VISrl1,"Rostrolateral area, layer 1"
312782608,,NaN,VISrl2/3,"Rostrolateral area, layer 2/3"
312782612,,NaN,VISrl4,"Rostrolateral area, layer 4"
312782616,,NaN,VISrl5,"Rostrolateral area, layer 5"
312782620,,NaN,VISrl6a,"Rostrolateral area, layer 6a"
312782624,,NaN,VISrl6b,"Rostrolateral area, layer 6b"
541,350,NaN,TEa,Temporal association areas
97,1002,NaN,TEa1,"Temporal association areas, layer 1"
1127,706,NaN,TEa2/3,"Temporal association areas, layer 2/3"
234,1019,NaN,TEa4,"Temporal association areas, layer 4"
289,1026,NaN,TEa5,"Temporal association areas, layer 5"
729,1081,NaN,TEa6a,"Temporal association areas, layer 6a"
786,1088,NaN,TEa6b,"Temporal association areas, layer 6b"
922,256,NaN,PERI,Perirhinal area
335,890,NaN,PERI6a,"Perirhinal area, layer 6a"
368,894,NaN,PERI6b,"Perirhinal area, layer 6b"
540,1057,NaN,PERI1,"Perirhinal area, layer 1"
692,1076,NaN,PERI5,"Perirhinal area, layer 5"
888,959,NaN,PERI2/3,"Perirhinal area, layer 2/3"
895,111,NaN,ECT,Ectorhinal area
836,1094,NaN,ECT1,Ectorhinal area/Layer 1
427,1043,NaN,ECT2/3,Ectorhinal area/Layer 2/3
988,1113,NaN,ECT5,Ectorhinal area/Layer 5
977,1112,NaN,ECT6a,Ectorhinal area/Layer 6a
1045,1120,NaN,ECT6b,Ectorhinal area/Layer 6b
698,228,NaN,OLF,Olfactory areas
507,204,NaN,MOB,Main olfactory bulb
212,733,NaN,MOBgl,"Main olfactory bulb, glomerular layer"
220,734,NaN,MOBgr,"Main olfactory bulb, granule layer"
228,735,NaN,MOBipl,"Main olfactory bulb, inner plexiform layer"
236,736,NaN,MOBmi,"Main olfactory bulb, mitral layer"
244,737,NaN,MOBopl,"Main olfactory bulb, outer plexiform layer"
151,18,NaN,AOB,Accessory olfactory bulb
188,730,NaN,AOBgl,"Accessory olfactory bulb, glomerular layer"
196,731,NaN,AOBgr,"Accessory olfactory bulb, granular layer"
204,732,NaN,AOBmi,"Accessory olfactory bulb, mitral layer"
159,19,NaN,AON,Anterior olfactory nucleus
167,20,NaN,AONd,"Anterior olfactory nucleus, dorsal part"
175,21,NaN,AONe,"Anterior olfactory nucleus, external part"
183,22,NaN,AONl,"Anterior olfactory nucleus, lateral part"
191,23,NaN,AONm,"Anterior olfactory nucleus, medial part"
199,24,NaN,AONpv,"Anterior olfactory nucleus, posteroventral part"
160,868,NaN,AON1,"Anterior olfactory nucleus, layer 1"
168,869,NaN,AON2,"Anterior olfactory nucleus, layer 2"
589,356,NaN,TT,Taenia tecta
597,357,NaN,TTd,"Taenia tecta, dorsal part"
297,744,NaN,TTd1-4,"Taenia tecta, dorsal part, layers 1-4"
1034,836,NaN,TTd1,"Taenia tecta, dorsal part, layer 1"
1042,837,NaN,TTd2,"Taenia tecta, dorsal part, layer 2"
1050,838,NaN,TTd3,"Taenia tecta, dorsal part, layer 3"
1059,839,NaN,TTd4,"Taenia tecta, dorsal part, layer 4"
605,358,NaN,TTv,"Taenia tecta, ventral part"
306,745,NaN,TTv1-3,"Taenia tecta, ventral part, layers 1-3"
1067,840,NaN,TTv1,"Taenia tecta, ventral part, layer 1"
1075,841,NaN,TTv2,"Taenia tecta, ventral part, layer 2"
1082,842,NaN,TTv3,"Taenia tecta, ventral part, layer 3"
814,384,NaN,DP,Dorsal peduncular area
496,627,NaN,DP1,"Dorsal peduncular area, layer 1"
535,632,NaN,DP2,"Dorsal peduncular area, layer 2"
360,893,NaN,DP2/3,"Dorsal peduncular area, layer 2/3"
646,646,NaN,DP5,"Dorsal peduncular area, layer 5"
267,1023,NaN,DP6a,"Dorsal peduncular area, layer 6a"
961,261,NaN,PIR,Piriform area
152,867,NaN,PIR1-3,"Piriform area, layers 1-3"
276,741,NaN,PIR1,"Piriform area, molecular layer"
284,742,NaN,PIR2,"Piriform area, pyramidal layer"
291,743,NaN,PIR3,"Piriform area, polymorph layer"
619,218,NaN,NLOT,Nucleus of the lateral olfactory tract
392,897,NaN,NLOT1-3,"Nucleus of the lateral olfactory tract, layers 1-3"
260,739,NaN,NLOT1,"Nucleus of the lateral olfactory tract, molecular layer"
268,740,NaN,NLOT2,"Nucleus of the lateral olfactory tract, pyramidal layer"
1139,1137,NaN,NLOT3,"Nucleus of the lateral olfactory tract, layer 3"
631,78,NaN,COA,Cortical amygdalar area
639,79,NaN,COAa,"Cortical amygdalar area, anterior part"
192,872,NaN,COAa1,"Cortical amygdalar area, anterior part, layer 1"
200,873,NaN,COAa2,"Cortical amygdalar area, anterior part, layer 2"
208,874,NaN,COAa3,"Cortical amygdalar area, anterior part, layer 3"
647,80,NaN,COAp,"Cortical amygdalar area, posterior part"
655,81,NaN,COApl,"Cortical amygdalar area, posterior part, lateral zone"
584,921,NaN,COApl1-2,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2"
376,895,NaN,COApl1-3,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3"
216,875,NaN,COApl1,"Cortical amygdalar area, posterior part, lateral zone, layer 1"
224,876,NaN,COApl2,"Cortical amygdalar area, posterior part, lateral zone, layer 2"
232,877,NaN,COApl3,"Cortical amygdalar area, posterior part, lateral zone, layer 3"
663,82,NaN,COApm,"Cortical amygdalar area, posterior part, medial zone"
592,922,NaN,COApm1-2,"Cortical amygdalar area, posterior part, medial zone, layers 1-2"
383,896,NaN,COApm1-3,"Cortical amygdalar area, posterior part, medial zone, layers 1-3"
240,878,NaN,COApm1,"Cortical amygdalar area, posterior part, medial zone, layer 1"
